FULL NAME,TEAM,WingSpan(cm),POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage Rate,TO%Turnover Rate,FTA,FT,FT%,2PA,2P,2P%,3PA,3P,3P%,eFG,eFG%Effective Shooting Percentage,TS,TS%True Shooting Percentage,PPGPoints per game.,RPGRebounds per game.,TRB%Total Rebound Percentage,APGAssists per game.,Assist Percentage,SPGSteals per game.,BPGBlocks per game.,TOPGTurnovers per game.,VI,ORTG,DRTG
Precious Achiuwa,Mia,215.27,F,21.66,61,12.1,25.2,19.5,13.5,110,50.9,0.509,227,54.6,0.546,1,0,0,54.4,0.544,55,0.55,5,3.4,16.1,0.5,6.1,0.33,0.46,0.7,6.7,106.8,99.7
Jaylen Adams,Mil,199.39,G,25.03,7,2.6,5.4,18.5,0,0,0,0,6,16.7,0.167,2,0,0,12.5,0.125,12.5,0.125,0.3,0.4,8.7,0.3,12.6,0,0,0,5.1,,
Steven Adams,Nor,224.79,C,27.83,58,27.7,57.6,11.7,17.7,135,44.4,0.444,305,62,0.62,3,0,0,61.4,0.614,59.6,0.596,7.6,8.9,17.4,1.9,9.1,0.93,0.66,1.36,7.3,119.7,107.8
Bam Adebayo,Mia,220.35,C-F,23.83,64,33.5,69.7,23.7,15,354,79.9,0.799,792,57.3,0.573,8,25,0.25,57.1,0.571,62.6,0.626,18.7,9,15.3,5.4,26.9,1.17,1.03,2.64,11.6,121.7,105
LaMarcus Aldridge,San,225.43,C-F,35.83,21,25.9,54,22.7,7,37,83.8,0.838,173,50.9,0.509,75,36,0.36,51.8,0.518,54.5,0.545,13.7,4.5,9.2,1.7,10.2,0.38,0.86,0.95,7.3,107.3,110
LaMarcus Aldridge,Bro,225.43,C-F,35.83,5,26,54.3,19.9,11.8,10,100,1,43,48.8,0.488,5,80,0.8,56.3,0.563,61.1,0.611,12.8,4.8,10.2,2.6,14.3,0.6,2.2,1.4,8.3,116.4,107.4
Ty-Shon Alexander,Pho,203.2,G,22.84,15,3.2,6.6,14.9,18.9,2,50,0.5,3,33.3,0.333,9,22.2,0.222,33.3,0.333,34.9,0.349,0.6,0.7,11.9,0.4,15.2,0,0.07,0.2,6.9,,
Nickeil Alexander-Walker,Nor,207.01,G,22.7,46,21.9,45.6,23.2,12.4,66,72.7,0.727,239,48.5,0.485,219,34.7,0.347,50.2,0.502,52.2,0.522,11,3.1,7.8,2.2,14.7,1.02,0.48,1.5,7.7,100.5,106.5
Grayson Allen,Mem,201.3,G,25.61,50,25.2,52.5,16.8,9.6,91,86.8,0.868,140,47.1,0.471,274,39.1,0.391,54.7,0.547,58.6,0.586,10.6,3.2,6.7,2.2,11.5,0.92,0.16,0.96,6.7,115.3,109.9
Jarrett Allen,Bro,226.7,C,23.07,12,26.6,55.5,15.5,19.3,61,75.4,0.754,65,67.7,0.677,0,0,0,67.7,0.677,73,0.73,11.2,10.4,21.6,1.7,8.3,0.58,1.58,1.83,8.8,134.4,106.6
Jarrett Allen,Cle,226.7,C,23.07,51,30.3,63.1,16.8,13.1,229,69,0.69,398,62.3,0.623,19,31.6,0.316,61.6,0.616,64.9,0.649,13.2,9.9,18.3,1.7,8.8,0.47,1.41,1.53,8,124.4,111.2
Al-Farouq Aminu,Orl,221.62,F,30.65,17,21.6,44.9,14.3,20.6,17,82.4,0.824,58,50,0.5,31,22.6,0.226,44.4,0.444,48.2,0.482,5.5,5.4,12.9,1.7,11.4,1,0.53,1.47,6.8,93,108.5
Al-Farouq Aminu,Chi,221.62,F,30.65,6,11.2,23.4,9.8,19.7,5,80,0.8,4,25,0.25,6,16.7,0.167,25,0.25,36.9,0.369,1.5,3.2,15.6,0.3,3.5,0.33,0,0.5,4,77,101.9
Kyle Anderson,Mem,220.35,F-G,27.66,69,27.4,57,18.5,10.4,184,78.3,0.783,397,53.9,0.539,261,36,0.36,54,0.54,57.8,0.578,12.4,5.7,11.1,3.6,18.3,1.22,0.83,1.25,9.3,117.2,106.7
Giannis Antetokounmpo,Mil,220.98,F,26.44,61,33,68.7,32.5,13.2,581,68.5,0.685,879,63.6,0.636,221,30.3,0.303,60,0.6,63.3,0.633,28.1,11,17.5,5.9,28.7,1.18,1.21,3.39,14.8,121.1,102.2
Kostas Antetokounmpo,Lal,218.44,F,23.49,15,3.7,7.8,20.8,41.2,13,46.2,0.462,10,30,0.3,0,0,0,30,0.3,38.2,0.382,0.8,1.3,19.1,0.1,2.3,0.13,0.27,0.73,5.1,,
Thanasis Antetokounmpo,Mil,210.82,F,28.83,57,9.7,20.1,15.3,21.3,49,51,0.51,108,55.6,0.556,29,24.1,0.241,51.5,0.515,52.3,0.523,2.9,2.2,11.8,0.8,10.3,0.39,0.18,0.75,7.1,103.3,100.5
Carmelo Anthony,Por,213.36,F,36.97,69,24.5,51,23.1,6.7,156,89.1,0.891,452,42.9,0.429,325,40.9,0.409,50.6,0.506,54.8,0.548,13.4,3.1,6.8,1.5,9.2,0.67,0.55,0.88,6.5,111.4,111.1
Cole Anthony,Orl,194.31,G,21,47,27.1,56.4,24.3,14.8,131,83.2,0.832,380,42.4,0.424,172,33.7,0.337,44.9,0.449,49.6,0.496,12.9,4.7,9,4.1,24.2,0.64,0.38,2.26,9.3,98.4,109.4
OG Anunoby,Tor,219.08,F,23.83,43,33.3,69.4,19.2,11.8,102,78.4,0.784,257,56.4,0.564,261,39.8,0.398,58.1,0.581,60.6,0.606,15.9,5.5,9.1,2.2,10.1,1.53,0.72,1.74,6.9,113.2,108.2
Ryan Arcidiacono,Chi,190.5,G,27.14,44,10.2,21.3,13.1,7.4,20,65,0.65,50,48,0.48,67,37.3,0.373,52.6,0.526,54.1,0.541,3.1,1.5,8.2,1.3,16.3,0.2,0,0.23,7.1,117.6,105.3
Trevor Ariza,Mia,218.44,F,35.88,30,28,58.4,15.1,7.5,44,77.3,0.773,98,50,0.5,143,35,0.35,51.5,0.515,54.2,0.542,9.4,4.8,9.8,1.8,9.4,1,0.6,0.7,6.2,111,107.1
D.J. Augustin,Mil,191.77,G,33.52,37,19.3,40.1,14.3,14,40,90,0.9,63,34.9,0.349,129,38,0.38,49.7,0.497,54.2,0.542,6.1,1.4,3.7,3,18.6,0.54,0.03,0.92,6.1,114.8,112.5
D.J. Augustin,Hou,191.77,G,33.52,20,20.8,43.4,21,15.1,54,90.7,0.907,63,47.6,0.476,88,38.6,0.386,53.6,0.536,60.4,0.604,10.6,2.2,5.6,3.9,28.3,0.4,0,1.55,8.6,118.2,115.2
Deni Avdija,Was,204.47,F,20.37,54,23.3,48.5,12,9,45,64.4,0.644,144,53.5,0.535,168,31.5,0.315,50.2,0.502,51.5,0.515,6.3,4.8,11,1.2,6.3,0.59,0.28,0.61,5.7,102.6,103.8
Deandre Ayton,Pho,228.6,C,22.82,69,30.6,63.8,18.2,11.8,173,76.9,0.769,667,63.9,0.639,20,20,0.2,62.9,0.629,65.3,0.653,14.4,10.5,19.5,1.4,6.8,0.59,1.17,1.48,7.8,127.1,102.8
Udoka Azubuike,Uta,231.78,C-F,21.66,15,3.8,7.9,12.4,18.3,10,80,0.8,9,44.4,0.444,0,0,0,44.4,0.444,59.7,0.597,1.1,0.9,12.1,0,0,0.07,0.27,0.2,0,,
Dwayne Bacon,Orl,208.28,G-F,25.71,72,25.7,53.6,19.8,5.3,176,82.4,0.824,519,44.9,0.449,207,28.5,0.285,44.3,0.443,49,0.49,10.9,3.1,6.3,1.3,7.9,0.61,0.07,0.63,5.5,101.7,112.8
Marvin Bagley III,Sac,213.36,F,22.18,43,25.9,53.9,23.5,9.7,134,57.5,0.575,382,55,0.55,108,34.3,0.343,54.2,0.542,55.4,0.554,14.1,7.4,15.9,1,5.8,0.49,0.49,1.37,7.3,108.9,110.5
LaMelo Ball,Cha,203.2,G,19.74,51,28.8,60,26.1,16.3,165,75.8,0.758,411,48.9,0.489,261,35.2,0.352,50.4,0.504,53.9,0.539,15.7,5.9,11.1,6.1,33.9,1.59,0.35,2.84,11.5,107.3,104.2
Lonzo Ball,Nor,205.74,G,23.55,55,31.8,66.2,20.5,14.5,64,78.1,0.781,245,48.2,0.482,455,37.8,0.378,53.7,0.537,55.1,0.551,14.6,4.8,8.2,5.7,25.4,1.49,0.56,2.24,9.3,109.8,109.5
Mo Bamba,Orl,238.76,C,23.01,46,15.8,32.8,21.9,10.1,66,68.2,0.682,183,56.8,0.568,118,32.2,0.322,53.5,0.535,55.6,0.556,8,5.8,19,0.8,8.1,0.3,1.26,0.8,8.4,110.3,101.7
Desmond Bane,Mem,193.68,G,22.89,68,22.3,46.5,16.1,10.2,49,81.6,0.816,228,51.3,0.513,271,43.2,0.432,58.6,0.586,60,0.6,9.2,3.1,7.3,1.7,10.6,0.62,0.24,0.87,6.5,114.7,107.5
Harrison Barnes,Sac,211.46,F,28.96,58,36.3,75.5,17.2,11.1,235,83,0.83,386,56.7,0.567,256,39.1,0.391,57.5,0.575,62.6,0.626,16.1,6.6,10.2,3.5,13,0.74,0.19,1.6,7.9,122.3,117.4
RJ Barrett,Nyk,208.28,F-G,20.92,72,34.9,72.7,23.4,10.5,276,74.6,0.746,750,45.7,0.457,309,40.1,0.401,50,0.5,53.5,0.535,17.6,5.8,8.9,3,13.8,0.74,0.28,1.93,7.7,106.2,104.7
Will Barton,Den,207.65,G,30.36,56,31,64.6,19,12.7,121,78.5,0.785,351,45.9,0.459,257,38.1,0.381,50.7,0.507,53.8,0.538,12.7,4,7.4,3.2,14.1,0.89,0.41,1.71,7,106.8,111.4
Keita Bates-Diop,San,221.62,F,25.31,30,8.2,17,14.8,8.4,21,66.7,0.667,50,50,0.5,17,29.4,0.294,48.5,0.485,51.8,0.518,2.6,1.6,10.7,0.4,6.6,0.37,0.17,0.23,5.8,105.6,109.9
Nicolas Batum,Lac,215.9,G-F,32.42,67,27.4,57.1,11.8,10.8,58,82.8,0.828,141,57.4,0.574,271,40.6,0.406,59.7,0.597,61.7,0.617,8.1,4.7,9.7,2.2,10.5,1.03,0.55,0.79,6.4,124.1,107.9
Aron Baynes,Tor,218.44,C-F,34.44,53,18.5,38.5,16.2,12.5,41,70.7,0.707,200,53.5,0.535,103,26.2,0.262,48.7,0.487,50.5,0.505,6.1,5.2,15.3,0.9,7,0.3,0.43,0.87,6.6,103.8,103.3
Kent Bazemore,Gol,212.09,G-F,31.88,67,19.9,41.5,16.3,16.1,78,69.2,0.692,208,48.6,0.486,184,40.8,0.408,54.5,0.545,56.4,0.564,7.2,3.4,9.1,1.6,11.1,1.03,0.49,1.22,6.8,101.3,100.5
Darius Bazley,Okc,213.36,F-G,20.93,55,31.2,64.9,22,13.7,178,70.2,0.702,404,47,0.47,286,29,0.29,45.6,0.456,49.1,0.491,13.7,7.2,12,1.8,8.9,0.53,0.45,2.22,7.2,92.4,112.9
Bradley Beal,Was,203.2,G,27.89,60,35.8,74.5,34.1,10.6,459,88.9,0.889,1009,53.5,0.535,373,34.9,0.349,53.2,0.532,59.3,0.593,31.3,4.7,7,4.4,21.3,1.15,0.37,3.12,9.7,113.3,110.5
Malik Beasley,Min,200.66,G,24.47,37,32.8,68.4,24,8.6,80,85,0.85,279,48.7,0.487,321,39.9,0.399,54.7,0.547,57,0.57,19.6,4.4,7.2,2.4,11.6,0.81,0.19,1.62,7.2,108.8,115
Jordan Bell,Was,212.73,F,26.36,5,13.4,28,14.2,13,0,0,0,18,38.9,0.389,2,0,0,35,0.35,35,0.35,2.8,3.8,15,1,9.4,0.6,0.6,0.6,6.6,85.6,106.3
Jordan Bell,Gol,212.73,F,26.36,1,14.7,30.6,11.3,25.8,2,50,0.5,2,0,0,0,0,0,0,0,17.4,0.174,1,5,18.1,2,15.8,0,2,1,5.9,69.9,97.8
DeAndre' Bembry,Tor,206.38,G-F,26.87,51,19.1,39.7,14.6,21.6,66,68.2,0.682,175,58.9,0.589,53,26.4,0.264,54.4,0.544,57,0.57,5.7,2.9,8.3,2.1,15.5,1.04,0.35,1.39,6.8,104.1,106.8
Davis Bertans,Was,208.28,F,28.51,57,25.7,53.5,15.9,5.9,115,87,0.87,50,48,0.48,428,39.5,0.395,58.1,0.581,62,0.62,11.5,3,6.1,0.9,4.4,0.58,0.23,0.58,4.9,119.8,108.1
Patrick Beverley,Lac,200.66,G,32.84,37,22.5,46.9,14.6,12.4,45,80,0.8,79,46.8,0.468,141,39.7,0.397,55,0.55,58,0.58,7.5,3.2,8,2.1,12,0.76,0.76,0.92,6.6,117.2,100.7
Saddiq Bey,Det,210.82,F,22.1,70,27.3,56.8,18.7,7.3,147,84.4,0.844,232,44.8,0.448,460,38,0.38,53,0.53,56.6,0.566,12.2,4.6,9.3,1.4,7.6,0.74,0.2,0.86,6.3,111.5,110
Tyler Bey,Dal,216.54,F,23.26,18,3.9,8.2,16.9,11,5,60,0.6,18,33.3,0.333,4,25,0.25,34.1,0.341,37.2,0.372,1,1,14,0.2,5.6,0,0.06,0.17,6,,
Khem Birch,Orl,214.63,C,28.63,48,19.8,41.3,12.2,8.5,85,74.1,0.741,188,47.9,0.479,21,19,0.19,45.9,0.459,51.7,0.517,5.3,5.1,13.2,1.1,8,0.67,0.58,0.48,6.3,119.5,109.8
Khem Birch,Tor,214.63,C,28.63,19,30.4,63.3,15.8,9.9,44,63.6,0.636,140,61.4,0.614,31,29,0.29,58.2,0.582,59.6,0.596,11.9,7.5,13.6,1.9,9.4,0.89,1.16,1.11,7.3,122.4,108.5
Goga Bitadze,Ind,218.44,C-F,21.83,45,12.5,26,18,7.1,61,73.8,0.738,115,54.8,0.548,79,25.3,0.253,47.9,0.479,52.3,0.523,5.1,3.3,14.5,0.8,8.9,0.2,1.33,0.38,7.6,115.3,99.4
Bismack Biyombo,Cha,228.6,C,28.72,66,20.4,42.6,11.5,19.8,105,44.8,0.448,241,58.9,0.589,1,0,0,58.7,0.587,57.4,0.574,5,5.3,13.9,1.2,8.3,0.26,1.12,1.08,6.2,111.5,105.6
Nemanja Bjelica,Sac,218.44,F,33.02,26,16.9,35.2,19.3,14.3,42,76.2,0.762,92,56.5,0.565,58,29.3,0.293,51.7,0.517,55.5,0.555,7.2,3.8,12.6,1.9,15.3,0.31,0.08,1.08,8.8,109.8,109
Nemanja Bjelica,Mia,218.44,F,33.02,11,14.2,29.6,15.9,9.1,9,55.6,0.556,19,52.6,0.526,27,37,0.37,54.3,0.543,55,0.55,5,2.5,9.9,1.8,18.7,0.64,0.27,0.45,8,116,99.2
Eric Bledsoe,Nor,201.93,G,31.44,71,29.7,62,18.5,12.1,195,68.7,0.687,376,49.5,0.495,355,34.1,0.341,50.3,0.503,53.2,0.532,12.2,3.4,6.3,3.8,17.3,0.77,0.34,1.58,7.3,107.8,112.2
Keljin Blevins,Por,208.28,G,25.48,17,4.4,9.2,14.4,20,0,0,0,12,25,0.25,8,25,0.25,30,0.3,30,0.3,0.7,0.6,7.1,0.2,6.7,0.12,0,0.29,4,66.2,109.2
Bojan Bogdanovic,Uta,210.82,F,32.08,72,30.8,64.1,22.8,10.9,265,87.9,0.879,464,48.7,0.487,461,39,0.39,53.6,0.536,58.8,0.588,17,3.9,6.7,1.9,9.1,0.63,0.06,1.78,6.5,113.1,107.4
Bogdan Bogdanovic,Atl,210.82,G,28.74,44,29.7,61.8,21.3,8.5,44,90.9,0.909,232,52.2,0.522,333,43.8,0.438,60.2,0.602,61.6,0.616,16.4,3.6,6.7,3.3,17.6,1.11,0.3,1.23,7.8,121.1,108.3
Bol Bol,Den,231.14,C-F,21.5,32,5,10.4,21.2,16.8,15,66.7,0.667,34,47.1,0.471,24,37.5,0.375,50.9,0.509,53.4,0.534,2.2,0.8,8.5,0.2,6,0.09,0.31,0.41,5.6,91.6,107
Marques Bolden,Cle,222.25,C,23.08,6,4.8,9.9,13,23.5,8,62.5,0.625,3,33.3,0.333,0,0,0,33.3,0.333,53.7,0.537,1.2,1,11.7,0,0,0.33,0.33,0.33,0,100.2,116.4
Jordan Bone,Orl,191.14,G,23.53,14,14,29.2,12.6,5.3,0,0,0,22,59.1,0.591,32,31.3,0.313,51.9,0.519,51.9,0.519,4,1.7,6.4,1.3,13.6,0.14,0,0.21,5.9,112.6,113.7
Isaac Bonga,Was,213.36,G,21.52,40,10.8,22.5,10.2,20.7,8,62.5,0.625,34,50,0.5,47,27.7,0.277,45.1,0.451,46.1,0.461,2,1.7,8.1,0.6,6.5,0.28,0.23,0.55,4.7,89.4,102.2
Devin Booker,Pho,203.84,G,24.54,67,33.9,70.6,32.7,12.4,392,86.7,0.867,916,54.3,0.543,371,34,0.34,53.3,0.533,58.7,0.587,25.6,4.2,7,4.3,20.6,0.79,0.24,3.09,9.1,110.1,107.6
Chris Boucher,Tor,223.52,F-C,28.35,60,24.2,50.4,20.6,6.7,193,78.8,0.788,325,60.9,0.609,235,38.3,0.383,59.5,0.595,63.4,0.634,13.6,6.7,15.3,1.1,7,0.58,1.85,0.77,7.7,127.2,103.3
Brian Bowen II,Ind,208.28,F-G,22.62,5,2.8,5.9,13.4,0,1,100,1,3,33.3,0.333,1,0,0,25,0.25,33.8,0.338,0.6,0.6,11.5,0,0,0,0,0,0,,
Avery Bradley,Mia,201.3,G,30.47,10,21.1,43.9,16.9,11.4,9,77.8,0.778,28,53.6,0.536,38,42.1,0.421,59.1,0.591,60.7,0.607,8.5,1.8,4.9,1.4,10,0.7,0.1,0.9,5.3,110.3,102.4
Avery Bradley,Hou,201.3,G,30.47,17,23,47.9,13.8,15,6,83.3,0.833,42,38.1,0.381,63,27,0.27,39.5,0.395,40.9,0.409,5.2,2.3,5.3,1.9,11.2,0.82,0.18,1.12,4.9,83.7,112.1
Tony Bradley,Phi,223.52,C-F,23.35,20,14.4,29.9,12.8,7,11,63.6,0.636,74,68.9,0.689,1,0,0,68,0.68,68.3,0.683,5.5,5.2,19.9,0.9,8.7,0.3,0.65,0.3,8.2,143.8,99.8
Tony Bradley,Okc,223.52,C-F,23.35,22,18,37.5,18,16,44,70.5,0.705,120,66.7,0.667,2,0,0,65.6,0.656,67.6,0.676,8.7,6.1,17.7,0.9,8.4,0.41,0.77,1.23,8.1,122.2,106.7
Jarrell Brantley,Uta,218.44,F,24.94,28,4.9,10.3,19,13.1,2,100,1,24,54.2,0.542,28,42.9,0.429,59.6,0.596,60.5,0.605,2.3,1,10.4,0.5,16.1,0.25,0.07,0.29,8.6,119.8,97.3
Ignas Brazdeikis,Nyk,206.38,F,22.35,4,1.8,3.7,18.1,34.7,2,100,1,1,0,0,0,0,0,0,0,53.2,0.532,0.5,0.5,15.3,0.3,17.3,0,0,0.25,9.4,,
Ignas Brazdeikis,Phi,206.38,F,22.35,1,7.9,16.5,16.3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,13.9,0,0,0,0,0,0,0,110.9
Ignas Brazdeikis,Orl,206.38,F,22.35,8,29.2,60.9,17.6,11.5,12,66.7,0.667,52,46.2,0.462,27,40.7,0.407,51.3,0.513,52.8,0.528,11.1,5.1,9.1,2,10.6,0.5,0.38,1.38,6.6,103.3,108.3
Miles Bridges,Cha,207.01,F,23.16,66,29.3,61,17.3,13.6,113,86.7,0.867,332,59.3,0.593,290,40,0.4,59.6,0.596,62.5,0.625,12.7,6,11.1,2.2,11.4,0.67,0.79,1.61,7.5,115.5,108.2
Mikal Bridges,Pho,215.9,F,24.71,72,32.6,67.9,14.9,7.4,131,84,0.84,353,64.9,0.649,315,42.5,0.425,64.4,0.644,66.8,0.668,13.5,4.3,7.4,2.1,8.8,1.06,0.88,0.81,6.1,131,110.7
Amida Brimah,Ind,228.6,C,27.26,5,5.9,12.2,19.4,30,3,100,1,8,62.5,0.625,0,0,0,62.5,0.625,69.7,0.697,2.6,1.6,14.8,0.2,4.7,0,1,0.8,6.4,101,102.1
Oshae Brissett,Ind,213.36,F-G,22.91,21,24.7,51.5,15.6,5.3,65,76.9,0.769,73,54.8,0.548,78,42.3,0.423,59.3,0.593,63.8,0.638,10.9,5.5,12,0.9,4.6,0.9,0.95,0.48,6.1,129.2,109.6
Malcolm Brogdon,Ind,209.55,G,28.43,56,34.5,71.8,25.9,9.8,177,86.4,0.864,606,49.3,0.493,374,38.8,0.388,52.7,0.527,56.1,0.561,21.2,5.3,8.3,5.9,25.7,0.88,0.27,2.05,10.1,113,112.1
Armoni Brooks,Hou,208.28,G,22.95,20,26,54.2,17.9,10,12,58.3,0.583,35,51.4,0.514,157,38.2,0.382,56.3,0.563,56.5,0.565,11.2,3.4,7,1.5,8.6,0.6,0.25,1.1,5.9,105.1,113.1
Dillon Brooks,Mem,198.12,G-F,25.32,67,29.8,62.1,26.1,9.6,195,81.5,0.815,659,46.1,0.461,372,34.4,0.344,48.1,0.481,51.5,0.515,17.2,2.9,5.2,2.3,11.7,1.16,0.39,1.78,6.5,101.2,104
Charlie Brown Jr.,Okc,213.36,G,23.29,9,16.9,35.1,14.9,11.2,10,90,0.9,22,36.4,0.364,21,23.8,0.238,36,0.36,42.2,0.422,4.4,1.9,5.8,1,8.2,0.44,0.22,0.67,4.8,88.4,105.5
Troy Brown Jr.,Was,210.19,G-F,21.8,21,13.7,28.5,16.1,14.3,15,66.7,0.667,43,44.2,0.442,46,30.4,0.304,44.9,0.449,47.1,0.471,4.3,2.9,11.3,0.9,8.5,0.14,0.19,0.76,6.5,92.5,106.1
Troy Brown Jr.,Chi,210.19,G-F,21.8,13,18.2,37.9,11.5,8,6,83.3,0.833,31,67.7,0.677,24,33.3,0.333,60,0.6,61.6,0.616,5.5,3.4,10.3,0.8,5.6,0.54,0.15,0.38,5.4,122.1,106.6
Bruce Brown,Bro,205.74,G-F,24.75,65,22.3,46.5,15.9,10.2,117,73.5,0.735,364,59.9,0.599,59,28.8,0.288,57.6,0.576,60.4,0.604,8.8,5.4,13.3,1.6,9.8,0.86,0.43,0.83,7.6,123.9,105
Jaylen Brown,Bos,212.73,G-F,24.56,58,34.5,71.8,29.7,11.5,250,76.4,0.764,701,53.5,0.535,410,39.8,0.398,55.8,0.558,58.6,0.586,24.7,6,9.7,3.4,16.5,1.24,0.55,2.72,9.2,111.6,107.3
Moses Brown,Okc,225.43,C,21.59,43,21.4,44.6,17,11.7,126,61.9,0.619,269,54.3,0.543,0,0,0,54.3,0.543,57,0.57,8.6,8.9,21.7,0.2,1.7,0.72,1.12,1,4.6,116.6,103.5
Sterling Brown,Hou,207.01,G-F,26.26,51,24.1,50.2,13.5,10.5,31,80.6,0.806,119,49.6,0.496,215,42.3,0.423,58.5,0.585,59.8,0.598,8.2,4.4,9.7,1.4,8.4,0.75,0.24,0.8,6.1,114.1,110.1
Jalen Brunson,Dal,193.04,G,24.71,68,25,52,20.2,10.3,151,79.5,0.795,427,57.8,0.578,200,40.5,0.405,58.8,0.588,61.8,0.618,12.6,3.4,7.5,3.5,21.3,0.51,0.01,1.18,8.5,123,110.7
Elijah Bryant,Mil,347.98,G,20,1,31.6,65.8,24.3,21.8,3,100,1,8,62.5,0.625,5,20,0.2,50,0.5,55.9,0.559,16,6,10,3,12.8,0,1,4,8.4,98.9,103.8
Thomas Bryant,Was,228.6,C-F,23.8,10,27.1,56.4,17.2,9.8,24,66.7,0.667,70,71.4,0.714,21,42.9,0.429,69.8,0.698,70.4,0.704,14.3,6.1,11.9,1.5,8.2,0.4,0.8,1.1,7.5,131.1,104.9
Reggie Bullock,Nyk,205.11,G-F,30.17,65,30,62.5,14.4,7.1,55,90.9,0.909,163,52.1,0.521,398,41,0.41,58.7,0.587,60.6,0.606,10.9,3.4,6.2,1.5,7.4,0.8,0.17,0.69,5.1,118.4,105.2
Trey Burke,Dal,196.85,G,28.51,62,14.7,30.6,19.9,8,57,89.5,0.895,189,49.2,0.492,164,35.4,0.354,51,0.51,54.4,0.544,6.6,0.9,3.3,1.3,12.9,0.6,0.1,0.53,5.4,110,110.7
Alec Burks,Nyk,208.28,G,29.83,49,25.6,53.3,21.4,8.2,118,85.6,0.856,254,42.5,0.425,246,41.5,0.415,52.2,0.522,56.4,0.564,12.7,4.6,9.8,2.2,13.2,0.63,0.29,1,7.9,113.5,102.9
Jimmy Butler,Mia,201.93,F,31.67,52,33.6,69.9,26.6,10.6,416,86.3,0.863,634,53.8,0.538,102,24.5,0.245,51.4,0.514,60.7,0.607,21.5,6.9,11.8,7.1,35.1,2.08,0.35,2.1,12.1,127,107.8
Bruno Caboclo,Hou,231.14,F,25.65,6,6.1,12.6,25.6,18.3,2,50,0.5,12,66.7,0.667,5,0,0,47.1,0.471,47.5,0.475,2.8,2.3,20.5,0.2,4.6,0,0.33,0.67,7.1,83.1,98.6
Devontae Cacok,Lal,205.74,F,24.6,20,4.9,10.2,16.9,10.6,11,45.5,0.455,29,58.6,0.586,0,0,0,58.6,0.586,57.6,0.576,2,1.6,17.8,0.1,1.5,0.25,0.2,0.2,5.6,112.8,98.8
Kentavious Caldwell-Pope,Lal,203.2,G,28.24,67,28.4,59.1,14.2,10.9,112,86.6,0.866,211,46.4,0.464,293,41,0.41,55.2,0.552,59,0.59,9.7,2.7,5.3,1.9,9.2,0.93,0.39,1.01,5.2,113.9,105.5
Facundo Campazzo,Den,189.23,G,30.15,65,21.9,45.7,13.1,17.1,91,87.9,0.879,99,44.4,0.444,216,35.2,0.352,50.2,0.502,55.8,0.558,6.1,2.1,5.3,3.6,20.2,1.22,0.22,1.12,6.5,116.1,105.9
Vlatko Cancar,Den,210.82,F,24.1,41,6.9,14.3,14.4,15.1,13,76.9,0.769,40,60,0.6,33,27.3,0.273,51.4,0.514,54,0.54,2.1,1.2,10.3,0.3,6.4,0.27,0.05,0.34,5.3,103.5,108.8
Devin Cannady,Orl,194.31,G,24.99,8,9.3,19.3,19.2,6,7,85.7,0.857,12,41.7,0.417,16,37.5,0.375,50,0.5,54.7,0.547,4.3,0.6,3.5,0.1,2.1,0.63,0.13,0.25,2.7,105.2,103.8
Clint Capela,Atl,224.79,C,27,63,30.1,62.8,19.9,8.4,227,57.3,0.573,696,59.5,0.595,0,0,0,59.5,0.595,60.2,0.602,15.2,14.3,26,0.8,4.1,0.7,2.05,1.16,7.4,124.3,103.3
Vernon Carey Jr.,Cha,215.9,F-C,20.22,19,6,12.6,17.2,10.9,11,81.8,0.818,29,58.6,0.586,7,14.3,0.143,51.4,0.514,56.3,0.563,2.4,1.4,12.8,0.1,2.6,0.05,0.26,0.26,4.6,107.1,104
Wendell Carter Jr.,Chi,224.79,C-F,22.09,32,24.7,51.5,19.2,14,111,73.9,0.739,230,52.6,0.526,22,36.4,0.364,52.8,0.528,57.8,0.578,10.9,7.8,17.4,2.2,12.3,0.56,0.75,1.53,9.3,114.8,100.9
Wendell Carter Jr.,Orl,224.79,C-F,22.09,22,26.5,55.3,19.5,11,68,72.1,0.721,176,53.4,0.534,29,24.1,0.241,51,0.51,54.9,0.549,11.7,8.8,17.2,1.6,9.7,0.77,0.82,1.32,8.3,111.8,106
Jevon Carter,Pho,193.68,G,25.67,60,11.9,24.9,15,6.6,7,57.1,0.571,72,52.8,0.528,151,37.1,0.371,54.7,0.547,54.8,0.548,4.1,1.5,7.3,1.2,13,0.48,0.15,0.27,6.5,115.1,106.7
Michael Carter-Williams,Orl,201.3,G,29.6,31,25.8,53.7,20.2,18.4,80,61.3,0.613,209,43.1,0.431,61,24.6,0.246,41.7,0.417,44.9,0.449,8.8,4.5,9,4.1,24.1,0.81,0.55,2.23,8.5,92.3,106.7
Alex Caruso,Lal,198.12,G,27.21,58,21,43.7,14.8,18.3,76,64.5,0.645,168,46.4,0.464,137,40.1,0.401,52.6,0.526,54.7,0.547,6.4,2.9,7.8,2.8,18.1,1.1,0.26,1.31,7.1,105.9,100.3
